Community,Species,Video file name,Camera trap name,Days since camera trap was installed,Classifier,Date (mm/dd/yy),Time (hh:mm),# individuals,Primary Behavior (what behavior they exhibited the most),Notes
A,Odocoileus virginianus,E6_IMG_0003,E6,0,Alex Gayer,10/7/25,18:57,1,Walking,
A,Odocoileus virginianus,E6_IMG_0004,E6,1,Alex Gayer,10/8/25,3:59,1,Walking,
A,Odocoileus virginianus,E6_IMG_0005,E6,1,Alex Gayer,10/8/25,11:05,1,Walking,
A,Sciurus carolinensis,E6_IMG_0006,E6,2,Alex Gayer,10/9/25,7:55,1,Running,
A,Odocoileus virginianus,E6_IMG_0006,E6,2,Alex Gayer,10/9/25,7:56,1,Walking,
A,Odocoileus virginianus,E6_IMG_0007,E6,2,Alex Gayer,10/9/25,13:59,2,Vigilant,Other deer runs by in background
A,Odocoileus virginianus,E6_IMG_0008,E6,3,Alex Gayer,10/10/25,18:09,1,Resting,
A,Odocoileus virginianus,E6_IMG_0009,E6,3,Alex Gayer,10/10/25,20:12,1,Walking,
A,Odocoileus virginianus,E6_IMG_0010,E6,3,Alex Gayer,10/10/25,20:30,3,Walking,
A,Odocoileus virginianus,E6_IMG_0011,E6,3,Alex Gayer,10/11/25,7:09,2,Vigilant,Baby deer hops over log and runs up by mom
A,Odocoileus virginianus,E6_IMG_0012,E6,4,Alex Gayer,10/11/25,17:01,1,Vigilant,
A,Odocoileus virginianus,E6_IMG_0013,E6,4,Alex Gayer,10/11/25,17:05,1,Vigilant,Started walking and head bobbing
A,Odocoileus virginianus,E6_IMG_0014,E6,4,Alex Gayer,10/11/25,17:07,1,Vigilant,
A,Odocoileus virginianus,E6_IMG_0015,E6,4,Alex Gayer,10/11/25,22:44,1,Walking,
A,Odocoileus virginianus,E6_IMG_0016,E6,5,Alex Gayer,10/12/25,12:44,3,Vigilant,
A,Odocoileus virginianus,E6_IMG_0017,E6,5,Alex Gayer,10/12/25,13:31,1,Vigilant,
A,Odocoileus virginianus,E6_IMG_0019,E6,5,Alex Gayer,10/12/25,17:42,1,Walking,
A,Odocoileus virginianus,E6_IMG_0020,E6,6,Alex Gayer,10/13/25,23:22,1,Walking,
A,Odocoileus virginianus,E6_IMG_0021,E6,8,Alex Gayer,10/15/25,2:06,1,Walking,
A,Odocoileus virginianus,E6_IMG_0023,E6,10,Alex Gayer,10/17/25,0:12,1,Walking,
A,Odocoileus virginianus,E6_IMG_0024,E6,10,Alex Gayer,10/17/25,0:23,1,Walking,
A,Odocoileus virginianus,E6_IMG_0025,E6,10,Alex Gayer,10/17/25,0:28,1,Walking,
A,Odocoileus virginianus,E6_IMG_0026,E6,11,Alex Gayer,10/18/25,9:06,1,Walking,
A,Odocoileus virginianus,E6_IMG_0027,E6,11,Alex Gayer,10/18/25,14:01,1,Walking,
A,Odocoileus virginianus,E6_IMG_0028,E6,11,Alex Gayer,10/18/25,14:07,1,Vigilant,
A,Odocoileus virginianus,E6_IMG_0029,E6,11,Alex Gayer,10/18/25,14:09,1,Vigilant,Same deer as E6_IMG_0028
A,Odocoileus virginianus,E6_IMG_0030,E6,11,Alex Gayer,10/18/25,14:10,1,Vigilant,Same deer as E6_IMG_0029
A,Odocoileus virginianus,E6_IMG_0031,E6,11,Alex Gayer,10/18/25,14:12,1,Vigilant,Same deer as E6_IMG_0030
A,Sciurus carolinensis,E6_IMG_0032,E6,11,Alex Gayer,10/18/25,15:42,1,N/A,Only tail is visible
A,Odocoileus virginianus,E6_IMG_0033,E6,11,Alex Gayer,10/18/25,16:06,1,Foraging,
A,Odocoileus virginianus,E6_IMG_0034,E6,12,Alex Gayer,10/19/25,5:31,1,Walking,
A,Odocoileus virginianus,E6_IMG_0036,E6,12,Alex Gayer,10/19/25,8:58,2,Walking,
A,Odocoileus virginianus,E6_IMG_0039,E6,13,Alex Gayer,10/20/25,10:04,4,Running,
A,Odocoileus virginianus,E6_IMG_0022,D4,11,Solomon Williams,10/19/25,6:45,1,Vigilant,Singular deer with growing antlers. Periods of vigilance intermixed with a couple short walks!
B,Sciurus carolinensis,D2_IMG_0050,D2,6,Catherine Ross,10/14/25,13:33,1,Foraging,
B,Cyanocitta cristata,D2_IMG_0051,D2,6,Catherine Ross,10/14/25,13:38,2,Resting,
B,Turdus migratorius,D2_IMG_0052,D2,6,Catherine Ross,10/14/25,14:31,3,Foraging,
A,Odocoileus virginianus,D4_IMG_0023,D4,4,Trinity Smith,10/12/25,7:37,1,Walking,
A,Odocoileus virginianus,D4_IMG_0027,D4,7,Trinity Smith,10/15/25,12:57,2,Walking,Two deer sorta idly walking and standing around. Not necessarily foraging but interacting with each other and one sniffed the ground. also sniffing each other's butts
B,Turdus migratorius,D2_IMG_0053,D2,6,Catherine Ross,10/14/25,16:00,1,Foraging,
B,Sciurus carolinensis,D2_IMG_0054,D2,6,Catherine Ross,10/14/25,17:24,1,Foraging,
B,Odocoileus virginianus,D2_IMG_0055,D2,6,Catherine Ross,10/14/25,17:39,1,Resting,
A,Odocoileus virginianus,D4_IMG_0078,D4,11,Samantha Handwerk,10/19/25,11:26,1,Walking,Hind end of body captured walking out of frame
B,Odocoileus virginianus,D2_IMG_0056,D2,6,Catherine Ross,10/14/25,17:43,1,Foraging,
B,Odocoileus virginianus,D2_IMG_0057,D2,6,Catherine Ross,10/14/25,17:54,2,Foraging,
B,Odocoileus virginianus,D2_IMG_0058,D2,6,Catherine Ross,10/14/25,18:47,1,Foraging,
B,Didelphis virginiana,D2_IMG_0059,D2,6,Catherine Ross,10/14/25,21:49,1,Foraging,
B,Vulpes vulpes,D2_IMG_0060,D2,7,Catherine Ross,10/15/25,2:33,1,Running,
B,Sciurus carolinensis,D2_IMG_0061,D2,7,Catherine Ross,10/15/25,7:47,1,Foraging,
A,Unknown,D4_IMG_0020,D4,3,Trinity Smith,10/11/25,2:48,1,N/A,A miscillanious/Unknown animal messing with the camera
B,Sciurus carolinensis,D2_IMG_0040,D2,5,Catherine Ross,10/13/25,15:35,1,Foraging,
B,Odocoileus virginianus,D2_IMG_041,D2,6,Catherine Ross,10/14/25,6:17,1,Foraging,
B,Sciurus carolinensis,D2_IMG_0042,D2,6,Catherine Ross,10/14/25,9:26,1,Foraging,
B,Sciurus carolinensis,D2_IMG_0044,D2,6,Catherine Ross,10/14/25,9:46,1,Foraging,
B,Sciurus carolinensis,D2_IMG_0045,D2,6,Catherine Ross,10/14/25,10:36,1,Foraging,
B,Sciurus carolinensis,D2_IMG_0046,D2,6,Catherine Ross,10/14/25,10:44,1,Foraging,
B,Sciurus carolinensis,D2_IMG_0047,D2,6,Catherine Ross,10/14/25,10:52,1,Foraging,
B,Sciurus carolinensis,D2_IMG_0048,D2,6,Catherine Ross,10/14/25,11:44,1,Running,
B,Sciurus carolinensis,D2_IMG_0049,D2,6,Catherine Ross,10/14/25,12:36,1,Running,
B,Sciurus carolinensis,D2_IMG_0062,D2,7,Catherine Ross,10/15/25,7:59,2,Foraging,
B,Sciurus carolinensis,D2_IMG_0063,D2,7,Catherine Ross,10/15/25,10:43,1,Foraging,
B,Sciurus carolinensis,D2_IMG_0065,D2,7,Catherine Ross,10/15/25,13:11,1,Foraging,
B,Odocoileus virginianus,D2_IMG_0066,D2,7,Catherine Ross,10/15/25,13:16,1,Foraging,
B,Odocoileus virginianus,D2_IMG_0067,D2,7,Catherine Ross,10/15/25,13:24,2,Foraging,
B,Odocoileus virginianus,D2_IMG_0068,D2,7,Catherine Ross,10/15/25,13:26,1,Walking,
B,Sciurus carolinensis,D2_IMG_0069,D2,7,Catherine Ross,10/15/25,17:45,1,Foraging,
B,Procyon lotor,D2_IMG_0070,D2,7,Catherine Ross,10/15/25,23:46,1,Walking,
B,Procyon lotor,D2_IMG_0071,D2,8,Catherine Ross,10/16/25,4:04,1,Foraging,
B,Odocoileus virginianus,D2_IMG_0072,D2,8,Catherine Ross,10/16/25,8:58,1,Foraging,
B,Odocoileus virginianus,D2_IMG_0073,D2,8,Catherine Ross,10/16/25,8:59,1,Foraging,
B,Odocoileus virginianus,D2_IMG_0074,D2,8,Catherine Ross,10/16/25,9:02,1,Foraging,
B,Odocoileus virginianus,D2_IMG_0001,D2,0,Sarah Geerges,10/8/25,17:51,1,Walking,deer walked past camera; then ran back in opp direction
B,Odocoileus virginianus,D2_IMG_0003,D2,1,Sarah Geerges,10/9/25,6:16,2,Running,2 deer ran one after the other; no other animal running after them
B,Odocoileus virginianus,D2_IMG_0004,D2,1,Sarah Geerges,10/9/25,6:33,1,Walking,
B,Sciurus carolinensis,D2_IMG_0005,D2,1,Sarah Geerges,10/9/25,7:57,1,Vigilant,"squirell one in frame for few seconds; could have been forgaing, but not clear"
B,Odocoileus virginianus,D2_IMG_0006,D2,1,Sarah Geerges,10/9/25,8:26,1,Walking,
B,Sciurus carolinensis,D2_IMG_0007,D2,1,Sarah Geerges,10/9/25,13:00,1,Foraging,"black squirrel moving in straight line, seems to be foraging"
B,Odocoileus virginianus,D2_IMG_0009,D2,1,Sarah Geerges,10/9/25,21:24,1,Walking,was chewing as they it was walking
B,Didelphis virginiana,D2_IMG_0010,D2,1,Sarah Geerges,10/9/25,21:47,1,Foraging,walked in straight line across camera
B,Sciurus carolinensis,D2_IMG_0011,D2,2,Sarah Geerges,10/10/25,3:23,1,N/A,could only see ears in video; seems to be a squirrel
B,Odocoileus virginianus,D2_IMG_0012,D2,2,Sarah Geerges,10/10/25,6:59,1,Foraging,
B,Sciurus carolinensis,D2_IMG_0013,D2,2,Sarah Geerges,10/10/25,7:04,1,Foraging,running and stopping at points to forage
B,Sciurus carolinensis,D2_IMG_0014,D2,2,Sarah Geerges,10/10/25,12:13,1,Foraging,
B,Sciurus carolinensis,D2_IMG_0016,D2,2,Sarah Geerges,10/10/25,15:02,1,Foraging,remained in camera view for most of video 
B,Sciurus carolinensis,D2_IMG_0017,D2,2,Sarah Geerges,10/10/25,15:17,1,Foraging,"foraging, then ran across camera view"
B,Sciurus carolinensis,D2_IMG_0018,D2,2,Sarah Geerges,10/10/25,15:19,1,Foraging,eating
B,Didelphis virginiana,D2_IMG_0020,D2,3,Sarah Geerges,10/11/25,3:45,1,Foraging,
B,Didelphis virginiana,D2_IMG_0021,D2,3,Sarah Geerges,10/11/25,3:53,1,Foraging,
B,Odocoileus virginianus,D2_IMG_0022,D2,3,Sarah Geerges,10/11/25,6:16,2,Walking,"not alert, just walking and sniffing around"
B,Odocoileus virginianus,D2_IMG_0023,D2,3,Sarah Geerges,10/11/25,7:16,1,Walking,has antlers
B,Sciurus carolinensis,D2_IMG_0024,D2,3,Sarah Geerges,10/11/25,8:34,1,Running,"was running, then paused for a second and continued in path"
B,Sciurus carolinensis,D2_IMG_0025,D2,3,Sarah Geerges,10/11/25,9:07,1,Foraging,
B,Sciurus carolinensis,D2_IMG_0026,D2,3,Sarah Geerges,10/11/25,11:23,1,Foraging,
B,Sciurus carolinensis,D2_IMG_0028,D2,3,Sarah Geerges,10/11/25,15:09,1,Foraging,"was pausing a lot in track, so likely foraging"
B,Vulpes vulpes,D2_IMG_0029,D2,4,Sarah Geerges,10/12/25,0:34,1,Walking,could only see tail
B,Odocoileus virginianus,D2_IMG_0030,D2,4,Sarah Geerges,10/12/25,13:33,1,Foraging,
B,Odocoileus virginianus,D2_IMG_0031,D2,4,Sarah Geerges,10/12/25,13:47,1,Running,
B,Sciurus carolinensis,D2_IMG_0032,D2,4,Sarah Geerges,10/12/25,16:47,1,Foraging,digging
B,Procyon lotor,D2_IMG_0034,D2,5,Sarah Geerges,10/13/25,1:53,1,Foraging,
B,Sciurus carolinensis,D2_IMG_0035,D2,5,Sarah Geerges,10/13/25,7:13,1,N/A,could only see end of tail - black 
B,Sciurus carolinensis,D2_IMG_0037,D2,5,Sarah Geerges,10/13/25,10:06,1,Foraging,"Remained in one spo, so likely foraging - could only see tail"
B,Odocoileus virginianus,D2_IMG_0039,D2,5,Sarah Geerges,10/13/25,14:25,1,Running,went off camera
A,Odocoileus virginianus,E5_IMG_0001.AVI,E5,0,Carter Lang,10/7/25,18:14,1,Vigilant,
A,Odocoileus virginianus,E5_IMG_0002.AVI,E5,0,Carter Lang,10/7/25,18:23,3,Walking,"2 Females, 1 male. "
A,Odocoileus virginianus,E5_IMG_0003.AVI,E5,0,Carter Lang,10/7/25,18:27,2,Foraging,
A,Odocoileus virginianus,E5_IMG_0004.AVI,E5,0,Carter Lang,10/7/25,18:28,1,Foraging,Also Vigilant
A,Odocoileus virginianus,E5_IMG_0005.AVI,E5,0,Carter Lang,10/7/25,20:15,2,Walking,
A,Odocoileus virginianus,E5_IMG_0006.AVI,E5,0,Carter Lang,10/7/25,20:17,2,Walking,
A,Odocoileus virginianus,E5_IMG_0007.AVI,E5,0,Carter Lang,10/7/25,20:46,1,Vigilant,
A,Odocoileus virginianus,E5_IMG_0008.AVI,E5,0,Carter Lang,10/7/25,20:48,1,Foraging,
A,Odocoileus virginianus,E5_IMG_0009.AVI,E5,1,Carter Lang,10/8/25,6:16,1,Walking,Male
A,Odocoileus virginianus,E5_IMG_0012.AVI,E5,2,Carter Lang,10/9/25,3:41,1,Walking,White spots present
A,Odocoileus virginianus,E5_IMG_0013.AVI,E5,2,Carter Lang,10/9/25,23:06,1,Walking,
A,Odocoileus virginianus,E5_IMG_0014.AVI,E5,3,Carter Lang,10/10/25,13:39,2,Running,1 was a faun
A,Odocoileus virginianus,E5_IMG_0015.AVI,E5,3,Carter Lang,10/10/25,17:34,1,Walking,Male
A,Odocoileus virginianus,E5_IMG_0016.AVI,E5,3,Carter Lang,10/10/25,20:33,1,Walking,
A,Odocoileus virginianus,E5_IMG_0017.AVI,E5,4,Carter Lang,10/11/25,2:02,1,Walking,
A,Odocoileus virginianus,E5_IMG_0018.AVI,E5,4,Carter Lang,10/11/25,8:57,2,Walking,
A,Odocoileus virginianus,E5_IMG_0019.AVI,E5,4,Carter Lang,10/11/25,8:58,1,Walking,
A,Odocoileus virginianus,E5_IMG_0021.AVI,E5,4,Carter Lang,10/11/25,18:05,1,N/A,
A,Odocoileus virginianus,E5_IMG_0022.AVI,E5,4,Carter Lang,10/11/25,18:09,1,N/A,
A,Odocoileus virginianus,E5_IMG_0023.AVI,E5,5,Carter Lang,10/12/25,7:20,2,Walking,
A,Odocoileus virginianus,E5_IMG_0024.AVI,E5,5,Carter Lang,10/12/25,7:25,1,Walking,
A,Odocoileus virginianus,E5_IMG_0025.AVI,E5,5,Carter Lang,10/12/25,12:44,1,Walking,
A,Odocoileus virginianus,E5_IMG_0026.AVI,E5,5,Carter Lang,10/12/25,12:51,1,Foraging,
A,Odocoileus virginianus,E5_IMG_0027.AVI,E5,5,Carter Lang,10/12/25,12:53,1,Foraging,
A,Odocoileus virginianus,E5_IMG_0028.AVI,E5,5,Carter Lang,10/12/25,13:36,1,Walking,
A,Odocoileus virginianus,E5_IMG_0029.AVI,E5,5,Carter Lang,10/14/25,6:59,1,Walking,
A,Odocoileus virginianus,E5_IMG_0030.AVI,E5,7,Carter Lang,10/14/25,10:37,1,Walking,
A,Odocoileus virginianus,E5_IMG_0031.AVI,E5,7,Carter Lang,10/14/25,10:48,1,Running,
A,Odocoileus virginianus,E5_IMG_0032.AVI,E5,7,Carter Lang,10/14/25,11:06,1,Walking,
A,Odocoileus virginianus,E5_IMG_0034.AVI,E5,7,Carter Lang,10/14/25,11:23,1,Running,
A,Odocoileus virginianus,E5_IMG_0035.AVI,E5,8,Carter Lang,10/15/25,14:24,2,Vigilant,
A,Odocoileus virginianus,E5_IMG_0036.AVI,E5,8,Carter Lang,10/15/25,22:28,1,Walking,
A,Odocoileus virginianus,E5_IMG_0037.AVI,E5,9,Carter Lang,10/16/25,4:41,2,Walking,Second deer runs by at end of clip
A,Odocoileus virginianus,E5_IMG_0038.AVI,E5,9,Carter Lang,10/16/25,4:53,1,Walking,
A,Odocoileus virginianus,E5_IMG_0039.AVI,E5,9,Carter Lang,10/16/25,14:56,1,Walking,
A,Cardinalis cardinalis,E5_IMG_0041.AVI,E5,10,Carter Lang,10/17/25,17:39,1,Resting,
A,Cyanocitta cristata,E5_IMG_0041.AVI,E5,10,Carter Lang,10/17/25,17:39,1,Flying,
A,Odocoileus virginianus,E5_IMG_0041.AVI,E5,10,Carter Lang,10/17/25,17:39,1,Walking,
A,Odocoileus virginianus,E5_IMG_0042.AVI,E5,11,Carter Lang,10/18/25,13:29,2,Running,
A,Odocoileus virginianus,E5_IMG_0043.AVI,E5,11,Carter Lang,10/18/25,13:34,1,Foraging,
A,Odocoileus virginianus,E5_IMG_0044.AVI,E5,11,Carter Lang,10/18/25,18:35,1,Running,
A,Odocoileus virginianus,E5_IMG_0045.AVI,E5,12,Carter Lang,10/19/25,0:32,1,Walking,
A,Odocoileus virginianus,E5_IMG_0046.AVI,E5,12,Carter Lang,10/19/25,0:44,1,Walking,
A,Odocoileus virginianus,E5_IMG_0047.AVI,E5,12,Carter Lang,10/19/25,6:30,1,Walking,
A,Odocoileus virginianus,E5_IMG_0048.AVI,E5,12,Carter Lang,10/19/25,6:37,1,Walking,
A,Odocoileus virginianus,E5_IMG_0049.AVI,E5,12,Carter Lang,10/19/25,6:39,1,Walking,
A,Odocoileus virginianus,E5_IMG_0050.AVI,E5,12,Carter Lang,10/19/25,6:42,1,Walking,
A,Odocoileus virginianus,E5_IMG_0051.AVI,E5,12,Carter Lang,10/19/25,18:34,1,Walking,
A,Odocoileus virginianus,E5_IMG_0052.AVI,E5,13,Carter Lang,10/20/25,1:47,1,Walking,
B,Buteo lineatus,C1_IMG_0001.AVI,C1,0,Nama Babikier,10/8/25,16:26,1,Resting,
B,Sciurus carolinensis,C1_IMG_0002.AVI,C1,2,Nama Babikier,10/10/25,9:45,1,Walking,
B,Sciurus carolinensis,C1_IMG_0003.AVI,C1,2,Nama Babikier,10/10/25,9:50,1,Running,
B,Tamias striatus,C1_IMG_0004.AVI,C1,3,Nama Babikier,10/11/25,7:02,1,Running,
B,Tamias striatus,C1_IMG_0005.AVI,C1,3,Nama Babikier,10/11/25,14:34,1,Running,
B,Tamias striatus,C1_IMG_0006.AVI,C1,4,Nama Babikier,10/12/25,7:01,1,Running,
B,Tamias striatus,C1_IMG_0007.AVI,C1,5,Nama Babikier,10/13/25,1:42,1,Running,
B,Odocoileus virginianus,C1_IMG_0008.AVI,C1,5,Nama Babikier,10/13/25,9:22,1,Walking,
B,Sciurus carolinensis,C1_IMG_0009.AVI,C1,5,Nama Babikier,10/13/25,10:39,1,Running,
B,Tamias striatus,C1_IMG_0010.AVI,C1,6,Nama Babikier,10/14/25,6:59,1,Running,
B,Tamias striatus,C1_IMG_0011.AVI,C1,9,Nama Babikier,10/17/25,8:00,1,Foraging,
B,Sciurus carolinensis,C1_IMG_0012.AVI,C1,9,Nama Babikier,10/17/25,8:59,1,Resting,
B,Tamias striatus,C1_IMG_0013.AVI,C1,10,Nama Babikier,10/18/25,7:39,1,Resting,
B,Sciurus carolinensis,C1_IMG_0014.AVI,C1,10,Nama Babikier,10/18/25,12:51,1,Running,
B,Odocoileus virginianus,C1_IMG_0015.AVI,C1,10,Nama Babikier,10/18/25,18:31,1,Vigilant,
B,Tamias striatus,C1_IMG_0016.AVI,C1,11,Nama Babikier,10/19/25,8:45,1,Foraging,
B,Odocoileus virginianus,C1_IMG_0017.AVI,C1,11,Nama Babikier,10/19/25,9:21,1,Walking,
B,Sciurus carolinensis,D1_IMG_0064.AVI,D1,12,Nama Babikier,10/20/25,7:44,1,Running,
B,Procyon lotor,D1_IMG_0063.AVI,D1,12,Nama Babikier,10/20/25,12:44,1,Walking,
B,Sciurus carolinensis,D1_IMG_0061.AVI,D1,11,Nama Babikier,10/19/25,18:05,1,Foraging,
B,Sciurus carolinensis,D1_IMG_0060.AVI,D1,11,Nama Babikier,10/19/25,18:04,1,Walking,
B,Odocoileus virginianus,D1_IMG_0059.AVI,D1,11,Nama Babikier,10/19/25,9:15,1,Foraging,
B,Sciurus carolinensis,D1_IMG_0058.AVI,D1,10,Nama Babikier,10/18/25,16:31,1,Walking,
B,Sciurus carolinensis,D1_IMG_0057.AVI,D1,10,Nama Babikier,10/18/25,10:44,1,Walking,
B,Sciurus carolinensis,D1_IMG_0056.AVI,D1,10,Nama Babikier,10/18/25,10:31,1,Foraging,
B,Sciurus carolinensis,D1_IMG_0054.AVI,D1,10,Nama Babikier,10/18/25,7:46,3,Running,
B,Procyon lotor,D1_IMG_0053.AVI,D1,10,Nama Babikier,10/18/25,12:02,1,Walking,
B,Sciurus carolinensis,D1_IMG_0052.AVI,D1,9,Nama Babikier,10/17/25,7:38,1,Walking,
B,Odocoileus virginianus,C6_IMG_0002.AVI,C6,0,Maya Cabrera,10/8/25,17:27,1,Foraging,"Was foraging at first, and then stopped and looked around for a while, then foraged again, and then stopped and looked around again "
B,Odocoileus virginianus,C6_IMG_0003.AVI,C6,0,Maya Cabrera,10/8/25,17:29,1,Foraging,
B,Unknown,C6_IMG_0004.AVI,C6,1,Maya Cabrera,10/9/25,10:27,1,N/A,"At the very beginning of the video, there is a flash of the animal on the right side of the screen, but it is unidentifiable"
B,Odocoileus virginianus,C6_IMG_0008.AVI,C6,2,Maya Cabrera,10/10/25,10:49,1,Walking,
B,Odocoileus virginianus,C6_IMG_0008.AVI,C6,4,Maya Cabrera,10/12/25,4:20,1,Running,
B,Odocoileus virginianus,C6_IMG_0014.AVI,C6,6,Maya Cabrera,10/14/25,7:40,1,N/A,Flash of a tail going down on the right side of the screen
B,Odocoileus virginianus,C6_IMG_0015.AVI,C6,6,Maya Cabrera,10/14/25,10:32,1,Walking,
B,Unknown,C6_IMG_0016.AVI,C6,7,Maya Cabrera,10/15/25,8:49,1,N/A,"Flash of a tail on the right side of the screen, animal is unidentifiable"
B,Colaptes auratus,C6_IMG_0018.AVI,C6,7,Maya Cabrera,10/15/25,14:32,1,N/A,Hopping down a tree branch
B,Unknown,C6_IMG_0021.AVI,C6,9,Maya Cabrera,10/17/25,3:31,1,N/A,"Some animal digging by the bottom of the screen, does not come into view"
B,Odocoileus virginianus,C6_IMG_0023.AVI,C6,9,Maya Cabrera,10/17/25,11:57,1,Walking,
B,Odocoileus virginianus,C6_IMG_0024.AVI,C6,9,Maya Cabrera,10/17/25,13:39,1,Walking,
B,Sciurus carolinensis,C6_IMG_0029.AVI,C6,10,Maya Cabrera,10/18/25,9:25,1,Running,
B,Cyanocitta cristata,C6_IMG_0030.AVI,C6,10,Maya Cabrera,10/18/25,13:19,1,N/A,Bird flying across screen
B,Sciurus carolinensis,C6_IMG_0031.AVI,C6,10,Maya Cabrera,10/18/25,19:40,1,N/A,Jumping across screen ; may be a Southern Flying squirrel
B,Sciurus carolinensis,C6_IMG_0032.AVI,C6,10,Maya Cabrera,10/18/25,22:01,1,Running,"Running up tree, presumably squirrel"
B,Odocoileus virginianus,C6_IMG_0033.AVI,C6,11,Maya Cabrera,10/19/25,8:48,1,Walking,
B,Sciurus carolinensis,C6_IMG_0034.AVI,C6,11,Maya Cabrera,10/19/25,10:11,1,Resting,"Rested on tree branch for majority of the video, then left"
B,Sciurus carolinensis,C6_IMG_0035.AVI,C6,11,Maya Cabrera,10/19/25,10:51,2,N/A,Two squirrels playing
B,Didelphis virginiana,D1_IMG_0004.AVI,D1,0,Nethra Suresh,10/8/25,20:55,1,Walking,A possum walking around
B,Odocoileus virginianus,D1_IMG_0006.AVI,D1,1,Nethra Suresh,10/9/25,6:15,1,Walking,A deer walks right through
B,Odocoileus virginianus,D1_IMG_0007.AVI,D1,1,Nethra Suresh,10/9/25,6:20,1,Walking,"A deer walks right through. Seen chewing something, but nothing in the foreground."
B,Sciurus carolinensis,D1_IMG_0008.AVI,D1,1,Nethra Suresh,10/9/25,13:30,1,Running,A squirrel scampers out of frame.
B,Sciurus carolinensis,D1_IMG_0013.AVI,D1,2,Nethra Suresh,10/10/25,12:46,1,Foraging,"A squirrel scampers out of frame. Looks like it's foraging, slightly vigilant."
B,Sciurus carolinensis,D1_IMG_0014.AVI,D1,2,Nethra Suresh,10/10/25,13:04,2,N/A,"A squirrel scampers out of frame. Another squirrel whooshes past, bumping into another squirrel. A bit of a scuffle, then both out of frame."
B,Spizella passerina,D1_IMG_0017.AVI,D1,2,Nethra Suresh,10/10/25,16:22,1,N/A,A bird flies by.
B,Tamias striatus,D1_IMG_0019.AVI,D1,2,Nethra Suresh,10/10/25,16:32,1,Running,"A chipmunk scampers out of frame. In the background, a squirrel (?) forages."
B,Sciurus carolinensis,D1_IMG_0019.AVI,D1,2,Nethra Suresh,10/10/25,16:32,2,Foraging,"A chipmunk scampers out of frame. In the background, a squirrel (?) forages."
B,Sitta canadensis,D1_IMG_0020.AVI,D1,2,Nethra Suresh,10/10/25,16:49,2,Foraging,2 red-breasted nuthatches foraging.
B,Procyon lotor,D1_IMG_0021.AVI,D1,2,Nethra Suresh,10/10/25,23:59,1,Walking,Raccoon ambling through.
B,Odocoileus virginianus,D1_IMG_0022.AVI,D1,3,Nethra Suresh,10/11/25,1:58,1,Walking,A deer walks through. Potentially foraging.
B,Sciurus carolinensis,D1_IMG_0023.AVI,D1,3,Nethra Suresh,10/11/25,7:47,1,Foraging,Foraging squirrel.
B,Sciurus carolinensis,D1_IMG_0024.AVI,D1,3,Nethra Suresh,10/11/25,8:06,1,Running,A squirrel scampers out of frame.
B,Sciurus carolinensis,D1_IMG_0025.AVI,D1,3,Nethra Suresh,10/11/25,8:16,1,Running,A squirrel scampers out of frame.
B,Sciurus carolinensis,D1_IMG_0026.AVI,D1,3,Nethra Suresh,10/11/25,8:20,1,Running,A squirrel scampers out of frame.
B,Sciurus carolinensis,D1_IMG_0027.AVI,D1,3,Nethra Suresh,10/11/25,12:57,1,Walking,A flash of a squirrel's tail on right side of screen.
B,Procyon lotor,D1_IMG_0028.AVI,D1,3,Nethra Suresh,10/11/25,21:53,1,Running,Raccoon bolts through.
B,Vulpes vulpes,D1_IMG_0029.AVI,D1,3,Nethra Suresh,10/11/25,21:56,1,Walking,A fox finds a place to rest.
B,Vulpes vulpes,D1_IMG_0030.AVI,D1,3,Nethra Suresh,10/11/25,22:00,1,Resting,Fox just sits.
B,Sciurus carolinensis,D1_IMG_0031.AVI,D1,4,Nethra Suresh,10/12/25,7:21,1,Running,Squirrel runs out of frame.
B,Odocoileus virginianus,D1_IMG_0033.AVI,D1,4,Nethra Suresh,10/12/25,17:36,1,Foraging,Dear munching on something.
B,Odocoileus virginianus,D1_IMG_0035.AVI,D1,5,Nethra Suresh,10/13/25,13:07,1,Foraging,Dear munching on something.
B,Odocoileus virginianus,D1_IMG_0036.AVI,D1,5,Nethra Suresh,10/13/25,14:22,1,Walking,A deer walks through.
B,Sciurus carolinensis,D1_IMG_0037.AVI,D1,6,Nethra Suresh,10/14/25,10:23,1,Running,A squirrel scampers out of frame.
B,Sciurus carolinensis,D1_IMG_0038.AVI,D1,6,Nethra Suresh,10/14/25,12:53,1,Foraging,Foraging squirrel.
B,Tamias striatus,D1_IMG_0039.AVI,D1,6,Nethra Suresh,10/14/25,14:59,1,Running,Chimpunk runs in frame.
B,Sciurus carolinensis,D1_IMG_0040.AVI,D1,6,Nethra Suresh,10/14/25,15:20,1,Foraging,Foraging squirrel.
B,Sciurus carolinensis,D1_IMG_0041.AVI,D1,6,Nethra Suresh,10/14/25,18:05,2,Running,Two squirrels chasing each other
B,Sciurus carolinensis,D1_IMG_0042.AVI,D1,7,Nethra Suresh,10/15/25,7:47,1,Running,A squirrel scampers.
B,Sciurus carolinensis,D1_IMG_0043.AVI,D1,7,Nethra Suresh,10/15/25,8:27,1,Foraging,Foraging squirrel.
B,Sciurus carolinensis,D1_IMG_0044.AVI,D1,7,Nethra Suresh,10/15/25,9:08,1,Running,Squirrel runs out of frame.
